Journal,Count
JOURNAL OF VIROLOGY,54
APPLIED AND ENVIRONMENTAL MICROBIOLOGY,53
THE ARABIDOPSIS BOOK,52
GENOME BIOLOGY AND EVOLUTION,52
BMC RESEARCH NOTES,52
ANNUAL REVIEW OF PLANT BIOLOGY,51
RNA BIOLOGY,51
PEST MANAGEMENT SCIENCE,51
ENVIRONMENTAL SCIENCE & TECHNOLOGY,50
ANALYTICAL CHEMISTRY,49
MOLECULAR BIOTECHNOLOGY,48
SHENG WU GONG CHENG XUE BAO = CHINESE JOURNAL OF BIOTECHNOLOGY,47
THE SCIENCE OF THE TOTAL ENVIRONMENT,47
CELL HOST & MICROBE,46
GENETIKA,46
CHEMOSPHERE,45
ISCIENCE,45
NATURE BIOTECHNOLOGY,44
ANALYTICAL BIOCHEMISTRY,43
JOURNAL OF CHEMICAL ECOLOGY,42
BMC SYSTEMS BIOLOGY,42
HEREDITY,42
PHOTOCHEMISTRY AND PHOTOBIOLOGY,41
METHODS IN ENZYMOLOGY,41
BMC BIOLOGY,40
"JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY. B, BIOLOGY",40
"CHROMOSOME RESEARCH : AN INTERNATIONAL JOURNAL ON THE MOLECULAR, SUPRAMOLECULAR AND EVOLUTIONARY ASPECTS OF CHROMOSOME BIOLOGY",39
ZHI WU SHENG LI YU FEN ZI SHENG WU XUE XUE BAO = JOURNAL OF PLANT PHYSIOLOGY AND MOLECULAR BIOLOGY,38
JOURNAL OF BACTERIOLOGY,37
CHROMOSOMA,37
PROTEIN SCIENCE : A PUBLICATION OF THE PROTEIN SOCIETY,37
"ENVIRONMENTAL POLLUTION (BARKING, ESSEX : 1987)",37
PROTEINS,37
MUTATION RESEARCH,37
NATURE PROTOCOLS,36
APPLIED MICROBIOLOGY AND BIOTECHNOLOGY,36
BIOLOGY,36
MOLECULAR AND CELLULAR BIOLOGY,36
PLOS COMPUTATIONAL BIOLOGY,36
CELLULAR AND MOLECULAR LIFE SCIENCES : CMLS,36
SCIENCE SIGNALING,35
THE JOURNAL OF GENERAL VIROLOGY,35
JOURNAL OF THEORETICAL BIOLOGY,35
"TRAFFIC (COPENHAGEN, DENMARK)",35
"LIFE (BASEL, SWITZERLAND)",34
METABOLITES,34
"RICE (NEW YORK, N.Y.)",34
JOURNAL OF BIOSCIENCES,34
PHOTOCHEMICAL & PHOTOBIOLOGICAL SCIENCES : OFFICIAL JOURNAL OF THE EUROPEAN PHOTOCHEMISTRY ASSOCIATION AND THE EUROPEAN SOCIETY FOR PHOTOBIOLOGY,33
AMINO ACIDS,33
METABOLIC ENGINEERING,33
AOB PLANTS,33
NATURE CHEMICAL BIOLOGY,32
ADVANCES IN SPACE RESEARCH : THE OFFICIAL JOURNAL OF THE COMMITTEE ON SPACE RESEARCH (COSPAR),32
"ACTA CRYSTALLOGRAPHICA. SECTION D, BIOLOGICAL CRYSTALLOGRAPHY",31
DATA IN BRIEF,31
ENVIRONMENTAL MICROBIOLOGY,31
GENES & GENOMICS,31
MOLECULAR MICROBIOLOGY,31
DNA SEQUENCE : THE JOURNAL OF DNA SEQUENCING AND MAPPING,31
THE JOURNAL OF CELL BIOLOGY,30
BIOLOGICAL CHEMISTRY,30
BIOPHYSICAL JOURNAL,29
"ZEITSCHRIFT FUR NATURFORSCHUNG. C, JOURNAL OF BIOSCIENCES",29
JOURNAL OF BIOSCIENCE AND BIOENGINEERING,29
JOURNAL OF BIOCHEMISTRY,29
JOURNAL OF PINEAL RESEARCH,29
COMMUNICATIVE & INTEGRATIVE BIOLOGY,28
ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH INTERNATIONAL,28
JOURNAL OF THE AMERICAN CHEMICAL SOCIETY,28
OECOLOGIA,28
NATURE CELL BIOLOGY,28
ZHONGGUO ZHONG YAO ZA ZHI = ZHONGGUO ZHONGYAO ZAZHI = CHINA JOURNAL OF CHINESE MATERIA MEDICA,28
DNA REPAIR,28
THE JOURNAL OF HEREDITY,27
BOTANICAL STUDIES,27
GENETICA,27
JOURNAL OF GENETICS,27
SEMINARS IN CELL & DEVELOPMENTAL BIOLOGY,27
"ACTA CRYSTALLOGRAPHICA. SECTION F, STRUCTURAL BIOLOGY COMMUNICATIONS",27
BIOORGANIC & MEDICINAL CHEMISTRY,26
LIPIDS,26
"BIOESSAYS : NEWS AND REVIEWS IN MOLECULAR, CELLULAR AND DEVELOPMENTAL BIOLOGY",26
COMPUTATIONAL BIOLOGY AND CHEMISTRY,26
FEBS OPEN BIO,25
GENETICS AND MOLECULAR BIOLOGY,25
BIOINFORMATION,25
BIOTECHNOLOGY AND BIOENGINEERING,25
MICROORGANISMS,25
CURRENT GENETICS,25
BMC BIOTECHNOLOGY,25
THE INTERNATIONAL JOURNAL OF DEVELOPMENTAL BIOLOGY,25
MOLECULAR SYSTEMS BIOLOGY,24
DATABASE : THE JOURNAL OF BIOLOGICAL DATABASES AND CURATION,24
BMB REPORTS,24
BRIEFINGS IN BIOINFORMATICS,24
GENES TO CELLS : DEVOTED TO MOLECULAR & CELLULAR MECHANISMS,24
JOURNAL OF CHROMATOGRAPHY. A,24
CYTOGENETIC AND GENOME RESEARCH,24
YI CHUAN XUE BAO = ACTA GENETICA SINICA,23
EUROPEAN JOURNAL OF CELL BIOLOGY,23
ELECTROPHORESIS,23
THE ISME JOURNAL,23
THE JOURNAL OF PHYSICAL CHEMISTRY. B,23
ECOLOGY AND EVOLUTION,23
MICROBIAL CELL FACTORIES,22
ANALYTICAL AND BIOANALYTICAL CHEMISTRY,22
CELL STRESS & CHAPERONES,22
JOURNAL OF EVOLUTIONARY BIOLOGY,22
GLYCOBIOLOGY,22
ACTA BIOCHIMICA POLONICA,22
VIRUSES,22
CHEMBIOCHEM : A EUROPEAN JOURNAL OF CHEMICAL BIOLOGY,22
ONTOGENEZ,21
EPIGENETICS,21
"JOURNAL OF CHROMATOGRAPHY. B, ANALYTICAL TECHNOLOGIES IN THE BIOMEDICAL AND LIFE SCIENCES",21
MICROBIOLOGICAL RESEARCH,21
MOLECULAR ECOLOGY RESOURCES,21
BIOCHEMISTRY. BIOKHIMIIA,21
STRESS BIOLOGY,21
MOLECULAR PHYLOGENETICS AND EVOLUTION,21
MICROPUBLICATION BIOLOGY,21
JOURNAL OF BIOMOLECULAR STRUCTURE & DYNAMICS,20
VIRUS RESEARCH,20
F1000RESEARCH,20
FRONTIERS IN CELL AND DEVELOPMENTAL BIOLOGY,20
MOLEKULIARNAIA BIOLOGIIA,20
ACTA BIOCHIMICA ET BIOPHYSICA SINICA,20
"SPECTROCHIMICA ACTA. PART A, MOLECULAR AND BIOMOLECULAR SPECTROSCOPY",20
"JOURNAL OF FUNGI (BASEL, SWITZERLAND)",20
ABIOTECH,20
TSITOLOGIIA I GENETIKA,20
JOURNAL OF MICROSCOPY,19
BIOCHIMICA ET BIOPHYSICA ACTA. BIOENERGETICS,19
CSH PROTOCOLS,19
DEVELOPMENT GENES AND EVOLUTION,19
MOLECULAR BIOSYSTEMS,19
STAR PROTOCOLS,19
CELL BIOLOGY INTERNATIONAL,18
TRENDS IN GENETICS : TIG,18
BIOMED RESEARCH INTERNATIONAL,18
COMPUTATIONAL AND STRUCTURAL BIOTECHNOLOGY JOURNAL,18
"STRUCTURE (LONDON, ENGLAND : 1993)",18
SYMPOSIA OF THE SOCIETY FOR EXPERIMENTAL BIOLOGY,18
METALLOMICS : INTEGRATED BIOMETAL SCIENCE,18
BMC GENETICS,18
ACS CHEMICAL BIOLOGY,18
FRONTIERS IN BIOENGINEERING AND BIOTECHNOLOGY,18
PROGRESS IN LIPID RESEARCH,18
ACS SYNTHETIC BIOLOGY,18
JOURNAL OF STRUCTURAL BIOLOGY,18
THE PLANT GENOME,18
PLANT DISEASE,18
DOKLADY. BIOCHEMISTRY AND BIOPHYSICS,17
CARBOHYDRATE RESEARCH,17
THE PLANT PATHOLOGY JOURNAL,17
FREE RADICAL BIOLOGY & MEDICINE,17
FRONTIERS IN MOLECULAR BIOSCIENCES,17
EVOLUTIONARY BIOINFORMATICS ONLINE,17
ANTIOXIDANTS & REDOX SIGNALING,17
"SCIENCE IN CHINA. SERIES C, LIFE SCIENCES",17
INTERNATIONAL JOURNAL OF GENOMICS,17
THE JOURNAL OF MEMBRANE BIOLOGY,17
APPLIED BIOCHEMISTRY AND BIOTECHNOLOGY,16
INTERNATIONAL JOURNAL OF PHYTOREMEDIATION,16
ANALYTICA CHIMICA ACTA,16
NATURE STRUCTURAL & MOLECULAR BIOLOGY,16
BIOSCIENCE REPORTS,16
"BIOMETALS : AN INTERNATIONAL JOURNAL ON THE ROLE OF METAL IONS IN BIOLOGY, BIOCHEMISTRY, AND MEDICINE",16
WORLD JOURNAL OF MICROBIOLOGY & BIOTECHNOLOGY,16
CURRENT ISSUES IN MOLECULAR BIOLOGY,15
ADVANCES IN EXPERIMENTAL MEDICINE AND BIOLOGY,15
CURRENT PROTOCOLS,15
UCHU SEIBUTSU KAGAKU,15
CURRENT TOPICS IN DEVELOPMENTAL BIOLOGY,15
FUNGAL GENETICS AND BIOLOGY : FG & B,15
PROCEEDINGS. BIOLOGICAL SCIENCES,15
BIOTECHNIQUES,15
BIOLOGY DIRECT,15
SEXUAL PLANT REPRODUCTION,15
JOURNAL OF ENVIRONMENTAL RADIOACTIVITY,15
CURRENT PROTOCOLS IN PLANT BIOLOGY,15
APPLICATIONS IN PLANT SCIENCES,15
BIOTECHNOLOGY JOURNAL,15
"NUCLEUS (AUSTIN, TEX.)",15
RAPID COMMUNICATIONS IN MASS SPECTROMETRY : RCM,15
"METHODS (SAN DIEGO, CALIF.)",15
FRONTIERS IN PHYSIOLOGY,15
POSTEPY BIOCHEMII,15
DNA AND CELL BIOLOGY,14
"JOURNAL, GENETIC ENGINEERING & BIOTECHNOLOGY",14
FEMS MICROBIOLOGY LETTERS,14
"GENOMICS, PROTEOMICS & BIOINFORMATICS",14
CURRENT GENOMICS,14
PESTICIDE BIOCHEMISTRY AND PHYSIOLOGY,14
BIOORGANIC & MEDICINAL CHEMISTRY LETTERS,14
JOURNAL OF BIOCHEMISTRY AND MOLECULAR BIOLOGY,14
VAVILOVSKII ZHURNAL GENETIKI I SELEKTSII,14
COMPARATIVE AND FUNCTIONAL GENOMICS,14
BIOLOGY OPEN,14
SCIENCE'S STKE : SIGNAL TRANSDUCTION KNOWLEDGE ENVIRONMENT,14
COLD SPRING HARBOR SYMPOSIA ON QUANTITATIVE BIOLOGY,14
COMPTES RENDUS BIOLOGIES,14
CARBOHYDRATE POLYMERS,13
MBIO,13
ARCHIVES OF VIROLOGY,13
CURRENT OPINION IN GENETICS & DEVELOPMENT,13
PROTEIN AND PEPTIDE LETTERS,13
JOURNAL OF RADIATION RESEARCH,13
JOURNAL OF INORGANIC BIOCHEMISTRY,13
ANGEWANDTE CHEMIE (INTERNATIONAL ED. IN ENGLISH),13
IN SILICO BIOLOGY,13
JOURNAL OF PESTICIDE SCIENCE,13
LIFE SCIENCE ALLIANCE,13
QUANTITATIVE PLANT BIOLOGY,13
JOURNAL OF BIOLOGICAL RHYTHMS,13
NATURE METHODS,12
ORGANIC & BIOMOLECULAR CHEMISTRY,12
BMC MICROBIOLOGY,12
